date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:57	39958/39958	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Sep%202017%2016:19:29%20GMT	http://junaidhira.com/demo/html/tile/intro.html	D:/q/cv1/junaidhira.com/demo/html/tile/intro.html	(from )
21:55:58	20/20	---M-Z	302	error ('Found')	text/html	date:Mon,%2022%20Jan%202018%2016:55:57%20GMT	http://junaidhira.com/robots.txt		(from )
21:55:58	1413/1413	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202016%2007:23:46%20GMT	http://junaidhira.com/demo/html/tile/img/favicon.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/favicon.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:55:59	1963/1963	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202016%2007:25:08%20GMT	http://junaidhira.com/demo/html/tile/img/apple-touch-icon.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/apple-touch-icon.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:55:59	2690/2690	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202016%2007:24:52%20GMT	http://junaidhira.com/demo/html/tile/img/apple-touch-icon-72x72.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/apple-touch-icon-72x72.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:55:59	3415/3415	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202016%2007:24:24%20GMT	http://junaidhira.com/demo/html/tile/img/apple-touch-icon-114x114.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/apple-touch-icon-114x114.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:00	3878/3878	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202016%2007:24:06%20GMT	http://junaidhira.com/demo/html/tile/img/apple-touch-icon-144x144.png	D:/q/cv1/junaidhira.com/demo/html/tile/img/apple-touch-icon-144x144.png	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:00	27466/27466	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Jan%202016%2013:37:36%20GMT	http://junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css	D:/q/cv1/junaidhira.com/demo/html/tile/font/font-awesome/css/font-awesome.min.css	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:01	72922/72922	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Nov%202014%2015:54:24%20GMT	http://junaidhira.com/demo/html/tile/css/animate.css	D:/q/cv1/junaidhira.com/demo/html/tile/css/animate.css	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:02	146435/146435	---MCZ	200	added ('OK')	text/css	date:Sun,%2013%20Sep%202015%2012:46:50%20GMT	http://junaidhira.com/demo/html/tile/css/materialize.min.css	D:/q/cv1/junaidhira.com/demo/html/tile/css/materialize.min.css	(from http://junaidhira.com/demo/html/tile/intro.html)
21:56:02	7789/7789	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Mar%202015%2011:28:56%20GMT	http://junaidhira.com/demo/html/tile/css/magnific-popup.css	D:/q/cv1/junaidhira.com/demo/html/tile/css/magnific-popup.css	(from http://junaidhira.com/demo/html/tile/intro.html)
